industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
E-Commerce,2017,Shanghai,No Funding,2405,get outcompeted,242
E-Commerce,2017,Anhui,No Funding,2039,not the right team,243
E-Commerce,2017,Beijing,Angel Round,1613,poor product,244
E-Commerce,2017,Guangdong,Series A,1856,no investor interest,245
E-Commerce,2017,Beijing,Series A,1886,product mistimed,246
E-Commerce,2017,Guangdong,Angel Round,1613,ran out of cash,247
E-Commerce,2017,Liaoning,No Funding,2070,no business model,248
E-Commerce,2017,Guangdong,No Funding,1917,no business model,249
E-Commerce,2017,Shanghai,Series A,1674,no market need,250
E-Commerce,2017,Guangdong,No Funding,2070,no business model,251
E-Commerce,2017,Zhejiang,Angel Round,1917,no market need,252
E-Commerce,2017,Taiwan,No Funding,1856,pivot gone bad,253
E-Commerce,2017,Shanghai,Pre-A Round,1081,burn out,254
E-Commerce,2017,Beijing,No Funding,1099,no business model,255
E-Commerce,2017,Shanghai,Angel Round,613,no business model,256
E-Commerce,2017,Guangdong,No Funding,816,no market need,257
E-Commerce,2017,Chongqing,No Funding,616,no business model,258
E-Commerce,2017,Beijing,No Funding,2168,no business model,259
E-Commerce,2017,Guangdong,No Funding,1007,no business model,260
E-Commerce,2017,Guangdong,No Funding,1007,no business model,261
E-Commerce,2017,Shanghai,No Funding,847,no business model,262
E-Commerce,2017,Guangdong,No Funding,266,product mistimed,263
E-Commerce,2017,Beijing,No Funding,905,pivot gone bad,264
E-Commerce,2017,Sichuan,No Funding,723,no business model,265
E-Commerce,2017,Guangdong,Series A,740,no investor interest,266
E-Commerce,2017,Fujian,Angel Round,1043,lose focus,267
E-Commerce,2017,Beijing,Series A,1373,poor marketing,268
E-Commerce,2017,Beijing,No Funding,734,no market need,269
E-Commerce,2017,Shanghai,Series A,914,no market need,270
E-Commerce,2017,Chongqing,Series B,1189,founder,271
E-Commerce,2017,Zhejiang,Series A,1101,failure to pivot,272
E-Commerce,2017,Sichuan,Angel Round,736,no market need,273
E-Commerce,2017,Beijing,Series A,736,burn out,274
E-Commerce,2017,Chongqing,Angel Round,1101,no business model,275
E-Commerce,2017,Shanghai,Angel Round,1101,no business model,276
E-Commerce,2017,Beijing,Seed Round,915,no business model,277
E-Commerce,2017,Beijing,Strategic,641,get outcompeted,278
E-Commerce,2017,Shanghai,Seed Round,275,no market need,279
E-Commerce,2016,Beijing,No Funding,2010,no business model,280
E-Commerce,2016,Beijing,Series A,2191,pricing/cost issue,281
E-Commerce,2016,Shanghai,Series A,2160,pricing/cost issue,282
E-Commerce,2016,Beijing,Series A,1948,no market need,283
E-Commerce,2016,Beijing,Series A,2101,pricing/cost issue,284
E-Commerce,2016,Zhejiang,Angel Round,1979,no market need,285
E-Commerce,2016,Beijing,Series A,1887,pricing/cost issue,286
E-Commerce,2016,Shanghai,No Funding,682,no market need,287
E-Commerce,2016,Shanghai,Angel Round,740,no market need,288
E-Commerce,2016,Beijing,No Funding,2135,no business model,289
E-Commerce,2016,Beijing,Angel Round,458,no market need,290
E-Commerce,2016,Shanghai,No Funding,949,no business model,291
E-Commerce,2016,Liaoning,No Funding,1190,get outcompeted,292
E-Commerce,2016,Guangxi,No Funding,943,no market need,293
E-Commerce,2016,Guangxi,No Funding,974,no market need,294
E-Commerce,2016,Guangdong,No Funding,1245,no business model,295
E-Commerce,2016,Beijing,No Funding,785,no business model,296
E-Commerce,2016,Liaoning,No Funding,935,no business model,297
E-Commerce,2016,Beijing,Angel Round,947,get outcompeted,298
E-Commerce,2016,Guangdong,Series A,765,no business model,299
E-Commerce,2016,Beijing,Series B,1008,burn out,300
E-Commerce,2016,Beijing,No Funding,517,no market need,301
E-Commerce,2016,Beijing,Angel Round,1831,no market need,302
E-Commerce,2015,Beijing,No Funding,2039,lose focus,303
E-Commerce,2015,Shanghai,Series B,2374,pricing/cost issue,304
E-Commerce,2015,Shanghai,Series B,2100,pricing/cost issue,305
E-Commerce,2015,Guangdong,Series B,2131,get outcompeted,306
E-Commerce,2015,Shanghai,Series A,2070,ignore customers,307
E-Commerce,2015,Beijing,Angel Round,2190,no investor interest,308
E-Commerce,2015,Beijing,Angel Round,1978,get outcompeted,309
E-Commerce,2015,Shanghai,No Funding,2100,get outcompeted,310
E-Commerce,2015,Shanghai,Series A,1978,pricing/cost issue,311
E-Commerce,2015,Guangdong,Series A,1917,pricing/cost issue,312
E-Commerce,2015,Beijing,Angel Round,1100,pricing/cost issue,313
E-Commerce,2015,Heilongjiang,No Funding,736,no business model,314
E-Commerce,2015,Sichuan,No Funding,825,no business model,315
E-Commerce,2015,Beijing,No Funding,852,no business model,316
E-Commerce,2015,Beijing,No Funding,1364,no business model,317
E-Commerce,2015,Beijing,No Funding,1211,no business model,318
E-Commerce,2015,Beijing,No Funding,2549,no business model,319
E-Commerce,2015,Beijing,No Funding,930,product mistimed,320
E-Commerce,2015,Beijing,Angel Round,1436,pricing/cost issue,321
E-Commerce,2015,Beijing,Angel Round,1129,pricing/cost issue,322
E-Commerce,2015,Beijing,Series A,1188,no market need,323
E-Commerce,2015,Zhejiang,No Funding,2588,no business model,324
E-Commerce,2015,Beijing,Series A,1100,get outcompeted,325
E-Commerce,2015,Beijing,Series A,1430,no business model,326
E-Commerce,2014,Shanghai,Series B,2221,get outcompeted,327
E-Commerce,2014,Anhui,Series B,2556,no market need,328
E-Commerce,2014,Beijing,No Funding,1157,lose focus,329
E-Commerce,2014,Shanghai,No Funding,2251,no business model,330
E-Commerce,2014,Zhejiang,No Funding,1214,no business model,331
E-Commerce,2014,Zhejiang,No Funding,3313,no business model,332
E-Commerce,2014,Guangdong,Series B,1826,pivot gone bad,333
E-Commerce,2013,Beijing,Series B,2222,ran out of cash,334
E-Commerce,2013,Shanghai,No Funding,514,no business model,335
E-Commerce,2013,Shanghai,No Funding,1059,no business model,336
Education,2019,Shanghai,No Funding,8622,ran out of cash,337
Education,2019,Beijing,No Funding,1602,no business model,338
Education,2019,Beijing,Angel Round,1431,no business model,339
Education,2019,Beijing,Seed Round,1553,product mistimed,340
Education,2019,Shaanxi,No Funding,1581,get outcompeted,341
Education,2019,Shanghai,Pre-A Round,2052,no market need,342
Education,2019,Shanghai,Series B+,2336,product mistimed,343
Education,2019,Beijing,Acquired,870,ran out of cash,344
Education,2018,Beijing,Angel Round,1613,lose focus,345
Education,2018,Beijing,Angel Round,1825,ran out of cash,346
Education,2018,Beijing,Angel Round,1674,ran out of cash,347
Education,2018,Zhejiang,Series A,1644,ran out of cash,348
Education,2018,Shanghai,Series C,1491,ran out of cash,349
Education,2018,Zhejiang,Angel Round,1644,no market need,350
Education,2018,Beijing,No Funding,1491,lose focus,351
Education,2018,Guangdong,Angel Round,1613,lose focus,352
Education,2018,Shanghai,Series A,1516,ran out of cash,353
Education,2018,Beijing,No Funding,3303,no business model,354
Education,2018,Beijing,Series A,3424,no business model,355
Education,2018,Shanghai,Series A,1135,burn out,356
Education,2017,Beijing,Angel Round,2070,product mistimed,357
Education,2017,Beijing,No Funding,4323,no market need,358
Education,2017,Beijing,No Funding,1735,pricing/cost issue,359
Education,2017,Liaoning,No Funding,2131,poor marketing,360
Education,2017,Beijing,No Funding,1644,not the right team,361
Education,2017,Guangdong,No Funding,1766,no business model,362
Education,2017,Beijing,No Funding,2160,no business model,363
Education,2017,Shanghai,Angel Round,1856,no business model,364
Education,2017,Shanghai,No Funding,1674,no business model,365
Education,2017,Guangdong,No Funding,1825,no business model,366
Education,2017,Beijing,Angel Round,2191,get outcompeted,367
Education,2017,Beijing,Angel Round,1978,no investor interest,368
Education,2017,Beijing,No Funding,1552,no business model,369
Education,2017,Shanghai,Series A,1552,no market need,370
Education,2017,Taiwan,Angel Round,1825,no market need,371
Education,2017,Hunan,No Funding,1582,no business model,372
Education,2017,Beijing,No Funding,1735,get outcompeted,373
Education,2017,Zhejiang,Angel Round,1947,ran out of cash,374
Education,2017,Beijing,No Funding,1735,pivot gone bad,375
Education,2017,Shanghai,No Funding,1613,product mistimed,376
Education,2017,Shandong,Angel Round,1061,lose focus,377
Education,2017,Shanghai,Angel Round,1058,lose focus,378
Education,2017,Zhejiang,Angel Round,824,pivot gone bad,379
Education,2017,Beijing,No Funding,1466,get outcompeted,380
Education,2017,Beijing,Angel Round,3712,ran out of cash,381
Education,2017,Beijing,Series B,4754,pivot gone bad,382
Education,2017,Guangdong,Angel Round,945,no business model,383
Education,2016,Beijing,Acquired,2071,ignore customers,384
Education,2016,Beijing,Angel Round,1857,no investor interest,385
Education,2016,Sichuan,No Funding,1887,get outcompeted,386
Education,2016,Beijing,Series A,2191,ignore customers,387
Education,2016,Beijing,Angel Round,1310,no business model,388
Education,2016,Beijing,No Funding,1853,product mistimed,389
Education,2016,Shanghai,Angel Round,643,product mistimed,390
Education,2016,Beijing,Series A,1100,get outcompeted,391
Education,2015,Beijing,Series A,1947,pricing/cost issue,392
Education,2015,Beijing,Series A,1917,lose focus,393
Education,2015,Zhejiang,Series A,2343,no business model,394
Education,2015,Shanghai,Angel Round,2465,poor product,395
Education,2015,Beijing,Angel Round,1066,no market need,396
Education,2015,Guangdong,No Funding,1826,no business model,397
Education,2015,Jiangsu,No Funding,941,get outcompeted,398
Education,2015,Beijing,No Funding,755,no business model,399
Education,2015,Jiangsu,No Funding,724,product mistimed,400
Education,2015,Taiwan,Series A,976,poor marketing,401
Education,2014,Shanghai,Angel Round,947,product mistimed,402
Education,2014,Beijing,Series A,1281,no business model,403
Education,2013,Beijing,No Funding,663,no business model,404
Education,2011,Shanghai,Series B,1312,ran out of cash,405
Education,2010,Zhejiang,Acquired,1221,pivot gone bad,406
Transportation,2019,Hunan,No Funding,763,burn out,407
Transportation,2019,Beijing,Angel Round,1381,burn out,408
Transportation,2019,Beijing,Acquired,1553,get outcompeted,409
Transportation,2019,Zhejiang,Series A,1431,pricing/cost issue,410
Transportation,2019,Shanghai,Angel Round,1553,get outcompeted,411
Transportation,2019,Shanghai,Angel Round,1247,get outcompeted,412
Transportation,2019,Beijing,Angel Round,1612,burn out,413
Transportation,2019,Zhejiang,Series B,1065,burn out,414
Transportation,2019,Beijing,Angel Round,1612,product mistimed,415
Transportation,2019,Shanghai,Angel Round,1553,no business model,416
Transportation,2019,Beijing,Pre-A Round,1461,product mistimed,417
Transportation,2019,Guangdong,Series A,764,founder,418
Transportation,2018,Shanghai,Angel Round,1582,burn out,419
Transportation,2018,Beijing,Angel Round,1491,product mistimed,420
Transportation,2018,Shandong,Angel Round,1491,no market need,421
Transportation,2018,Guangdong,Angel Round,1491,no market need,422
Transportation,2018,Beijing,Angel Round,1735,poor product,423
Transportation,2018,Jiangsu,No Funding,2070,no business model,424
Transportation,2018,Overseas,Acquired,1735,lose focus,425
Transportation,2018,Beijing,Angel Round,1735,burn out,426
Transportation,2018,Beijing,Series A+,1766,burn out,427
Transportation,2018,Beijing,Angel Round,1825,no market need,428
Transportation,2018,Beijing,Series A,1766,burn out,429
Transportation,2018,Beijing,No Funding,1856,no business model,430
Transportation,2018,Guangdong,No Funding,1644,no market need,431
Transportation,2018,Beijing,Angel Round,1766,founder,432
Transportation,2018,Sichuan,Series A,1521,product mistimed,433
Transportation,2018,Beijing,Series B,1856,no business model,434
Transportation,2018,Beijing,No Funding,1552,get outcompeted,435
Transportation,2018,Hong Kong,Series A,555,burn out,436
Transportation,2017,Beijing,Angel Round,2131,pricing/cost issue,437
Transportation,2017,Beijing,No Funding,2375,no business model,438
Transportation,2017,Zhejiang,No Funding,1825,get outcompeted,439
Transportation,2017,Shanghai,Series B,1552,pricing/cost issue,440
Transportation,2017,Zhejiang,Series A,1947,get outcompeted,441
Transportation,2017,Shanghai,Angel Round,1705,no market need,442
Transportation,2017,Beijing,Series A,2039,no business model,443
Transportation,2017,Beijing,No Funding,2466,no business model,444
Transportation,2017,Jiangsu,No Funding,2070,pivot gone bad,445
Transportation,2017,Shanghai,No Funding,2222,no business model,446
Transportation,2017,Beijing,No Funding,2070,no investor interest,447
Transportation,2017,Beijing,Angel Round,1552,no market need,448
Transportation,2017,Zhejiang,Series A,1552,get outcompeted,449
Transportation,2017,Sichuan,Angel Round,1917,lose focus,450
Transportation,2017,Shanghai,Acquired,1825,failure to pivot,451
Transportation,2017,Overseas,Seed Round,676,no business model,452
Transportation,2017,Beijing,Series A,1211,burn out,453
Transportation,2017,Beijing,Angel Round,498,supervision,454
Transportation,2017,Beijing,Series A,1764,get outcompeted,455
Transportation,2017,Shanghai,Angel Round,858,burn out,456
Transportation,2017,Shandong,No Funding,890,no market need,457
Transportation,2017,Shanghai,Angel Round,1037,no market need,458
Transportation,2017,Anhui,No Funding,1006,pivot gone bad,459
Transportation,2017,Beijing,Angel Round,827,product mistimed,460
Transportation,2017,Hubei,Angel Round,705,burn out,461
Transportation,2017,Fujian,Seed Round,151,product mistimed,462
Transportation,2017,Beijing,Acquired,1491,burn out,463
Transportation,2016,Beijing,Series A,2010,pricing/cost issue,464
Transportation,2016,Beijing,Series A,1887,get outcompeted,465
Transportation,2016,Shaanxi,Angel Round,2010,get outcompeted,466
Transportation,2016,Beijing,Series C,1101,burn out,467
Transportation,2016,Shanghai,Series A,740,no market need,468
Transportation,2016,Shanghai,No Funding,734,product mistimed,469
Transportation,2016,Beijing,Angel Round,794,failure to pivot,470
Transportation,2016,Zhejiang,No Funding,1301,get outcompeted,471
Transportation,2016,Jiangsu,No Funding,1180,no business model,472
Transportation,2016,Beijing,Series B,1831,get outcompeted,473
Transportation,2015,Shanghai,No Funding,1947,no business model,474
Transportation,2015,Zhejiang,No Funding,1066,failure to pivot,475
Transportation,2014,Beijing,Series B,2496,get outcompeted,476
Transportation,2014,Guangdong,No Funding,1917,no business model,477
Transportation,2014,Shanghai,No Funding,749,get outcompeted,478
Transportation,2012,Shanghai,Angel Round,2283,no business model,479
Transportation,2012,Guangdong,No Funding,267,no business model,480
Tool,2019,Guangdong,Series A,914,no business model,481
Tool,2019,Beijing,Angel Round,1216,no market need,482
Tool,2019,Zhejiang,Pre-A Round,1492,no business model,483
Tool,2019,Guangdong,Angel Round,1369,no market need,484
Tool,2019,Hubei,Angel Round,1492,no market need,485
Tool,2019,Beijing,No Funding,1278,no market need,486
