location,broken_year,industry,funded_status,survival_time,cause_of_failure,dataid
Zhejiang,2012,Entertainment,No Funding,1152,pivot gone bad,351
Zhejiang,2010,Education,Acquired,1221,pivot gone bad,352
Guangdong,2019,Health,No Funding,1887,get outcompeted,353
Guangdong,2019,Tool,Series A,914,no business model,354
Guangdong,2019,Local Business,Series A+,1603,burn out,355
Guangdong,2019,Health,No Funding,2454,no market need,356
Guangdong,2019,E-Commerce,Series A,1461,no market need,357
Guangdong,2019,Real Estate,Series A,1553,supervision,358
Guangdong,2019,Tool,Angel Round,1369,no market need,359
Guangdong,2019,Health,No Funding,1156,no business model,360
Guangdong,2019,Enterprise Service,Angel Round,1461,no market need,361
Guangdong,2019,Real Estate,Series A,1461,product mistimed,362
Guangdong,2019,Social Media,Angel Round,1612,no market need,363
Guangdong,2019,Local Business,Strategic,637,founder,364
Guangdong,2019,Transportation,Series A,764,founder,365
Guangdong,2019,Finance,Series D,2800,supervision,366
Guangdong,2019,Finance,Angel Round,3126,supervision,367
Guangdong,2018,Local Business,Angel Round,1825,no business model,368
Guangdong,2018,E-Commerce,No Funding,1735,no investor interest,369
Guangdong,2018,Logistics,Series A,1825,founder,370
Guangdong,2018,Sports,Angel Round,1766,product mistimed,371
Guangdong,2018,Entertainment,Series A+,1613,product mistimed,372
Guangdong,2018,Local Business,Series A,1644,pivot gone bad,373
Guangdong,2018,Transportation,Angel Round,1491,no market need,374
Guangdong,2018,E-Commerce,Series A,1552,pivot gone bad,375
Guangdong,2018,Local Business,No Funding,1644,pricing/cost issue,376
Guangdong,2018,Hardware,No Funding,1644,ran out of cash,377
Guangdong,2018,Hardware,Angel Round,1735,no market need,378
Guangdong,2018,Social Media,Series A,1644,product mistimed,379
Guangdong,2018,Health,No Funding,1552,no business model,380
Guangdong,2018,Social Media,Angel Round,1491,no market need,381
Guangdong,2018,E-Commerce,Angel Round,1674,no market need,382
Guangdong,2018,E-Commerce,Series A,1552,team/investors,383
Guangdong,2018,E-Commerce,No Funding,1613,pricing/cost issue,384
Guangdong,2018,Local Business,Angel Round,1766,no market need,385
Guangdong,2018,Sports,Pre-A Round,1825,ran out of cash,386
Guangdong,2018,Transportation,No Funding,1644,no market need,387
Guangdong,2018,E-Commerce,Angel Round,1521,no business model,388
Guangdong,2018,Social Media,Angel Round,1644,no market need,389
Guangdong,2018,E-Commerce,Acquired,1552,burn out,390
Guangdong,2018,Hardware,Pre-A Round,1766,product mistimed,391
Guangdong,2018,E-Commerce,No Funding,1825,pivot gone bad,392
Guangdong,2018,Finance,No Funding,1582,ran out of cash,393
Guangdong,2018,Social Media,Angel Round,1582,no investor interest,394
Guangdong,2018,Education,Angel Round,1613,lose focus,395
Guangdong,2018,Logistics,Pre-A Round,869,get outcompeted,396
Guangdong,2018,Sports,Series C,1275,product mistimed,397
Guangdong,2018,Finance,Series B,1411,supervision,398
Guangdong,2018,Game,Series B,1280,founder,399
Guangdong,2018,Finance,Series B,1280,ran out of cash,400
Guangdong,2018,Local Business,Angel Round,1006,no business model,401
Guangdong,2017,Entertainment,Angel Round,1886,no business model,402
Guangdong,2017,Entertainment,No Funding,2039,pivot gone bad,403
Guangdong,2017,Social Media,Angel Round,2039,pivot gone bad,404
Guangdong,2017,E-Commerce,No Funding,2100,no market need,405
Guangdong,2017,Enterprise Service,Angel Round,2191,get outcompeted,406
Guangdong,2017,Social Media,No Funding,1766,pivot gone bad,407
Guangdong,2017,Enterprise Service,No Funding,1886,get outcompeted,408
Guangdong,2017,Finance,Series A,1886,founder,409
Guangdong,2017,E-Commerce,No Funding,1917,get outcompeted,410
Guangdong,2017,Local Business,Angel Round,1947,pivot gone bad,411
Guangdong,2017,Game,Series A,1917,legal challenges,412
Guangdong,2017,Education,No Funding,1766,no business model,413
Guangdong,2017,Social Media,No Funding,1825,product mistimed,414
Guangdong,2017,Health,No Funding,1825,no business model,415
Guangdong,2017,Tool,Angel Round,1644,no market need,416
Guangdong,2017,Education,No Funding,1825,no business model,417
Guangdong,2017,New Industry,Series A,1552,pivot gone bad,418
Guangdong,2017,Logistics,Series D,1886,ran out of cash,419
Guangdong,2017,Local Business,Angel Round,1521,get outcompeted,420
Guangdong,2017,Hardware,Angel Round,1825,pricing/cost issue,421
Guangdong,2017,Finance,Angel Round,1825,no market need,422
Guangdong,2017,Travel,Series A,1644,get outcompeted,423
Guangdong,2017,E-Commerce,Series A,1856,no investor interest,424
Guangdong,2017,E-Commerce,Angel Round,1613,ran out of cash,425
Guangdong,2017,Hardware,No Funding,1856,pricing/cost issue,426
Guangdong,2017,Marketing,No Funding,1766,no business model,427
Guangdong,2017,Local Business,No Funding,1856,product mistimed,428
Guangdong,2017,E-Commerce,No Funding,1917,no business model,429
Guangdong,2017,Tool,No Funding,1917,pivot gone bad,430
Guangdong,2017,E-Commerce,No Funding,2070,no business model,431
Guangdong,2017,Hardware,Strategic,3272,pricing/cost issue,432
Guangdong,2017,Real Estate,Pre-A Round,822,ran out of cash,433
Guangdong,2017,Social Media,Series B,2954,poor product,434
Guangdong,2017,E-Commerce,No Funding,816,no market need,435
Guangdong,2017,Entertainment,No Funding,919,no business model,436
Guangdong,2017,Local Business,No Funding,891,no market need,437
Guangdong,2017,Real Estate,No Funding,829,get outcompeted,438
Guangdong,2017,Hardware,Series A,1038,product mistimed,439
Guangdong,2017,E-Commerce,No Funding,1007,no business model,440
Guangdong,2017,E-Commerce,No Funding,1007,no business model,441
Guangdong,2017,E-Commerce,No Funding,266,product mistimed,442
Guangdong,2017,E-Commerce,Series A,740,no investor interest,443
Guangdong,2017,Social Media,Series A,1105,no market need,444
Guangdong,2017,Local Business,Angel Round,1040,no investor interest,445
Guangdong,2017,Entertainment,Angel Round,736,lose focus,446
Guangdong,2017,Local Business,Angel Round,700,get outcompeted,447
Guangdong,2017,Social Media,Angel Round,740,no market need,448
Guangdong,2017,Travel,Angel Round,522,no business model,449
Guangdong,2017,Local Business,Pre-A Round,2192,pivot gone bad,450
Guangdong,2017,Social Media,Angel Round,976,get outcompeted,451
Guangdong,2017,Education,Angel Round,945,no business model,452
Guangdong,2016,Social Media,Angel Round,1979,no business model,453
Guangdong,2016,Tool,No Funding,1857,pivot gone bad,454
Guangdong,2016,Entertainment,No Funding,1887,product mistimed,455
Guangdong,2016,Marketing,Series B,1948,ignore customers,456
Guangdong,2016,Hardware,Series A,1918,pricing/cost issue,457
Guangdong,2016,Enterprise Service,No Funding,2132,get outcompeted,458
Guangdong,2016,Enterprise Service,No Funding,2132,pricing/cost issue,459
Guangdong,2016,Travel,Angel Round,1101,no business model,460
Guangdong,2016,Local Business,No Funding,768,no market need,461
Guangdong,2016,Finance,No Funding,764,no business model,462
Guangdong,2016,Enterprise Service,No Funding,943,no business model,463
Guangdong,2016,E-Commerce,No Funding,1245,no business model,464
Guangdong,2016,Social Media,No Funding,3036,no business model,465
Guangdong,2016,E-Commerce,Series A,765,no business model,466
Guangdong,2016,New Industry,No Funding,1191,ran out of cash,467
Guangdong,2016,Entertainment,Angel Round,1159,pivot gone bad,468
Guangdong,2016,Finance,Strategic,340,supervision,469
Guangdong,2015,Finance,Series A,2404,no business model,470
