Id,GenderIDDesc,color
477,UNKNOWN,
478,UNKNOWN,
479,MALE,GRAY
480,UNKNOWN,BROWN/WHIT
481,FEMALE,BLACK
482,UNKNOWN,BLACK/WHIT
483,UNKNOWN,BLK-WHT
484,UNKNOWN,
485,MALE,FAWN
486,MALE,BLK
487,UNKNOWN,
488,UNKNOWN,
489,FEMALE,WHITE
490,UNKNOWN,
491,UNKNOWN,
492,FEMALE,BRN-WHT
493,FEMALE,SABLE-WHT
494,UNKNOWN,
495,MALE,BLACK/WHIT
496,MALE,TABBY
497,UNKNOWN,BLACK
498,MALE,BRN-WHT
499,MALE,WHITE
500,MALE,BEIGE-BRIN
501,UNKNOWN,TAN
502,FEMALE,BLACK
503,FEMALE,BRN-BLK
504,UNKNOWN,
505,UNKNOWN,
506,FEMALE,BRN
507,UNKNOWN,
508,MALE,BLACK/TAN
509,MALE,WHT-YELLOW
510,MALE,TAN/WHITE
511,UNKNOWN,TAN-BLK
512,UNKNOWN,
513,FEMALE,GRAY/WHITE
514,UNKNOWN,
515,UNKNOWN,
516,MALE,TAN-WHT
517,MALE,BLK-WHITE
518,FEMALE,TAN/GRAY
519,FEMALE,CALICO
520,UNKNOWN,
521,FEMALE,BLACK-WHT
522,UNKNOWN,
523,MALE,GRAY/WHITE
524,FEMALE,CALICO
525,UNKNOWN,BRN-WHT
526,UNKNOWN,TAN
527,UNKNOWN,
528,UNKNOWN,
529,MALE,FAWN-BLK
530,UNKNOWN,BLK-BROWN
531,MALE,TRI
532,MALE,TRI
533,MALE,GOLDEN
534,UNKNOWN,
535,MALE,TAN
536,MALE,BROWN-WHT
537,FEMALE,BLACK/WHIT
538,MALE,BRN-WHITE
539,UNKNOWN,CHOCO-TAN
540,UNKNOWN,BR-BRINDLE
541,UNKNOWN,BLK-WHITE
542,MALE,BRN-WHITE
543,UNKNOWN,WHITE-BRN
544,UNKNOWN,
545,FEMALE,BLACK
546,FEMALE,WHITE
547,MALE,CREAM
548,FEMALE,WHITE
549,UNKNOWN,
550,UNKNOWN,BROWN-SILV
551,UNKNOWN,
552,UNKNOWN,TANNISH
553,FEMALE,BLONDE
554,FEMALE,WHITE
555,UNKNOWN,BLACK-WHT
556,UNKNOWN,
557,FEMALE,WHITE-BLK
558,UNKNOWN,
559,MALE,BL-BRINDLE
560,FEMALE,GRAY
561,UNKNOWN,
562,MALE,TAN-BLK
563,MALE,WHT-BLK
564,FEMALE,RED
565,UNKNOWN,
566,FEMALE,BLUEPOINTE
567,UNKNOWN,BLACK
568,MALE,SILVER
569,UNKNOWN,
570,MALE,BROWN
571,UNKNOWN,
572,MALE,BROWN
573,UNKNOWN,
574,UNKNOWN,TAN
575,FEMALE,GOLDEN
576,UNKNOWN,
577,MALE,WHITE
578,UNKNOWN,
579,FEMALE,WHITE
580,UNKNOWN,BLK
581,FEMALE,GRAY
582,MALE,BLK-BROWN
583,FEMALE,MULTI
584,FEMALE,BROWN
585,UNKNOWN,YELLOW-WHT
586,UNKNOWN,
587,UNKNOWN,
588,UNKNOWN,
589,FEMALE,YELLOW
590,FEMALE,BLACK
591,FEMALE,BROWN
592,UNKNOWN,WHITE
593,UNKNOWN,
594,UNKNOWN,
595,FEMALE,GRAY
596,UNKNOWN,BLK
597,UNKNOWN,
598,FEMALE,WHITE
599,FEMALE,BLK-WHITE
600,MALE,RED
601,UNKNOWN,
602,UNKNOWN,
603,MALE,BLK-WHITE
604,MALE,GRAY
605,FEMALE,GRAY
606,MALE,TAN
607,UNKNOWN,WHITE-TAN
608,UNKNOWN,TAN-WHITE
609,MALE,WHITE
610,MALE,BLACK
611,MALE,TRI
612,FEMALE,BRN-BLK
613,UNKNOWN,
614,FEMALE,BLK-WHITE
615,UNKNOWN,
616,UNKNOWN,
617,FEMALE,GRAY-BRN
618,MALE,TABBY
619,FEMALE,BRN-WHT
620,MALE,BLK-BROWN
621,UNKNOWN,
622,MALE,TRI
623,MALE,RD-BLK-WHT
624,MALE,TAN
625,MALE,SALT-PEPPE
626,UNKNOWN,
627,UNKNOWN,BLK-WHITE
628,MALE,WHITE
629,UNKNOWN,BLACK
630,MALE,BLK-WHITE
631,FEMALE,WHITE-BLUE
632,MALE,BLK-WHITE
633,UNKNOWN,
634,MALE,WHT-BRN
635,UNKNOWN,GRAY-BLK
636,UNKNOWN,
637,FEMALE,WHT-LIVER
638,MALE,GRAY-WHT
639,UNKNOWN,
640,FEMALE,BLONDE
641,UNKNOWN,
642,UNKNOWN,
643,UNKNOWN,
644,UNKNOWN,
645,MALE,BROWN
646,UNKNOWN,
647,UNKNOWN,
648,UNKNOWN,
649,MALE,BLACK
650,UNKNOWN,
651,MALE,RED-BRN-BK
652,MALE,BLACK
653,UNKNOWN,BROWN
654,UNKNOWN,
655,MALE,GRAY-BLK
656,FEMALE,BROWN-WHT
657,MALE,BLK-GRAY
658,UNKNOWN,
659,UNKNOWN,
660,UNKNOWN,
661,MALE,BROWN
662,MALE,RED-MERLE
663,MALE,BROWNISH
664,MALE,WHITE-BLK
665,MALE,BROWN
666,UNKNOWN,GRAY-WHITE
667,UNKNOWN,WHITE=BLK
668,UNKNOWN,WHITE
669,FEMALE,GRAY-WHT
670,MALE,BLACK-BRN
671,MALE,BLACK
672,FEMALE,GRAY-TABBY
673,UNKNOWN,
674,FEMALE,WHT-BROWN
675,UNKNOWN,BLACK-TAN
676,UNKNOWN,
677,UNKNOWN,
678,MALE,RED-BLONDE
679,FEMALE,TRI
680,UNKNOWN,WHITE
681,UNKNOWN,
682,FEMALE,BLK-WHITE
683,UNKNOWN,
684,MALE,BLK-WHITE
685,UNKNOWN,BROWN
686,MALE,BLACK-TAN
687,UNKNOWN,
688,UNKNOWN,
689,UNKNOWN,
690,FEMALE,BRINDLE
691,UNKNOWN,
692,UNKNOWN,
693,MALE,LT. BROWN
694,MALE,YELLOW
695,UNKNOWN,
696,UNKNOWN,
697,UNKNOWN,
698,MALE,BLK
699,UNKNOWN,
700,UNKNOWN,
701,FEMALE,GREY-WHITE
702,UNKNOWN,
703,UNKNOWN,BLACK
704,MALE,SILVER-BLU
705,MALE,BROWN-WHT
706,MALE,WHITE-SPOT
707,MALE,BROWN
708,UNKNOWN,YELLOW
709,UNKNOWN,
710,FEMALE,BLUE-GRAY
711,UNKNOWN,
712,MALE,BLACK
713,MALE,ORANGE
714,MALE,BLACK-TAN
715,UNKNOWN,
716,MALE,RED
717,UNKNOWN,
718,MALE,MULTI
719,FEMALE,RED
720,MALE,TAN
721,MALE,GRAYISH-WH
722,UNKNOWN,WHITE/GRAY
723,MALE,WHITE/BROW
724,UNKNOWN,BLACK
725,UNKNOWN,
726,MALE,BLACK-TAN
727,UNKNOWN,WHITE
728,FEMALE,SEAL POINT
729,UNKNOWN,BLACK-TAN
730,MALE,BROWN/BLAC
731,MALE,TAN/WHITE
732,MALE,BROWN-WHT
733,MALE,WHITE
734,MALE,BLACK/BROW
735,UNKNOWN,TRI
736,UNKNOWN,
737,UNKNOWN,
738,UNKNOWN,
739,FEMALE,BLONDE
740,MALE,BROWN/WHIT
741,UNKNOWN,BLK-BROWN
742,UNKNOWN,
743,FEMALE,BLACK-WHT
744,MALE,TAN
745,UNKNOWN,
746,MALE,TAN-WHT
747,MALE,BLK-WHT
748,MALE,BROWN
749,MALE,BLK
750,UNKNOWN,
751,UNKNOWN,
752,MALE,BLK-WHITE
753,UNKNOWN,WHITE-TAN
754,UNKNOWN,BROWN
755,UNKNOWN,
756,FEMALE,BLACK-WHT
757,MALE,BLK-WHITE
758,FEMALE,BLK-TAN
759,UNKNOWN,
760,FEMALE,BLACK
761,UNKNOWN,
762,FEMALE,BLK-BROWN
763,MALE,BROWN-WHT
764,FEMALE,BLACK/WHIT
765,UNKNOWN,ORANGE-WHT
766,UNKNOWN,ORANGE
767,MALE,TRI
768,MALE,BROWN
769,FEMALE,TRI
770,UNKNOWN,BROWN-WHT
771,FEMALE,BLK-WHITE
772,MALE,TAN
773,FEMALE,BLONDE
774,UNKNOWN,
775,UNKNOWN,BLACK
776,FEMALE,BLACK
777,FEMALE,BLACK
778,MALE,WHITE
779,UNKNOWN,WHITE-BLK
780,UNKNOWN,
781,UNKNOWN,BROWN
782,MALE,WHITE
783,MALE,BROWN
784,UNKNOWN,BROWN/WHIT
785,MALE,WHITE-BLK
786,FEMALE,BLACK
787,MALE,BRINDLE
788,MALE,BROWN
789,UNKNOWN,
790,UNKNOWN,
791,UNKNOWN,
792,UNKNOWN,
793,UNKNOWN,WHITE-TAN
794,MALE,BLK-BROWN
795,UNKNOWN,
796,UNKNOWN,
797,MALE,BLK-WHITE
798,UNKNOWN,
799,UNKNOWN,
800,MALE,BRINDLE
801,UNKNOWN,
802,UNKNOWN,
803,MALE,BLK-TAN
804,UNKNOWN,
805,MALE,TABBY
806,UNKNOWN,
807,MALE,SILVER-BLK
808,FEMALE,WHITE
809,UNKNOWN,BROWN
810,FEMALE,BLACK-WHT
811,MALE,BLK-WHITE
812,MALE,BLACK
813,UNKNOWN,
814,UNKNOWN,BLACK
815,MALE,BLACK
816,FEMALE,TAN
817,FEMALE,RED MERLE
818,UNKNOWN,
819,FEMALE,BROWN-WHT
820,MALE,BROWN-WHT
821,FEMALE,MULTI
822,MALE,BROWN
823,UNKNOWN,
824,UNKNOWN,
825,FEMALE,BLK-BROWN
826,MALE,BLACK
827,MALE,TRI
828,FEMALE,BROWN-WHT
829,UNKNOWN,
830,MALE,TRI
831,FEMALE,RED-WHITE
832,MALE,TABBY
833,FEMALE,WHITE
834,FEMALE,GOLDEN BRN
835,FEMALE,CALICO
836,MALE,BEIGE
837,MALE,BROWN
838,MALE,BLACK
839,UNKNOWN,
840,FEMALE,BEIGE
841,FEMALE,BLK-BROWN
842,FEMALE,BLK-WHITE
843,UNKNOWN,
844,UNKNOWN,BLACK
845,MALE,
846,UNKNOWN,BLK-WHITE
847,UNKNOWN,ORANGE-TAB
848,MALE,BLK-WHITE
849,UNKNOWN,
850,UNKNOWN,
851,MALE,WHT-BLACK
852,MALE,TRI
853,MALE,WHT-GREY
854,UNKNOWN,
855,FEMALE,BLONDE
856,FEMALE,WHITE-TAN
857,UNKNOWN,
858,UNKNOWN,
859,MALE,LT BRN-WHT
860,UNKNOWN,
861,MALE,BLK-GRAY
862,UNKNOWN,
863,MALE,BLK-WHITE
864,MALE,BEIGE-LTBN
865,UNKNOWN,BROWN
866,FEMALE,ORANGE-WHT
867,UNKNOWN,
868,MALE,BLONDE
869,FEMALE,TAN-WHITE
870,UNKNOWN,
871,UNKNOWN,
872,FEMALE,BROWN-BLK
873,UNKNOWN,
874,FEMALE,BLK-TAN
875,MALE,RED-BLK
876,FEMALE,WHITE-BLK
877,UNKNOWN,BLACK
878,FEMALE,WHITE-BRN
879,UNKNOWN,
880,UNKNOWN,BLACK-BRN
881,MALE,WHITE-TAN
882,MALE,TAN
883,FEMALE,BLK-WHITE
884,MALE,TAN
885,FEMALE,BLK-BRN
886,MALE,RED-BRN
887,FEMALE,TRI
888,FEMALE,BLK-WHT
889,UNKNOWN,WHITE
890,UNKNOWN,
891,UNKNOWN,
892,FEMALE,BROWN-WHT
893,MALE,WHITE
894,UNKNOWN,
895,FEMALE,WHT-GRAY
896,UNKNOWN,BLK-BROWN
897,UNKNOWN,
898,UNKNOWN,ORANGE-YLO
899,MALE,WHITE
900,MALE,GRAY-BLK
901,MALE,WHT-BLACK
902,FEMALE,GRAY
903,MALE,BLACK-WHT
904,UNKNOWN,ORANGE-TAB
905,UNKNOWN,
906,MALE,GRAY
907,MALE,GRAY-WHITE
908,MALE,BLK-WHITE
909,FEMALE,ORANGE-BLK
910,UNKNOWN,BLK-WHITE
911,FEMALE,BROWN-BLK
912,MALE,TAN-WHITE
913,MALE,BRN-WHT
914,FEMALE,BROWN
915,MALE,ORANGE-WHT
916,FEMALE,YELLOW-WHT
917,UNKNOWN,
918,MALE,BLACK
919,MALE,BROWN-WHT
920,MALE,BRN-BLACK
921,FEMALE,BLK-WHITE
922,FEMALE,RED-BRN
923,UNKNOWN,
924,FEMALE,DARK-RED
925,UNKNOWN,
926,FEMALE,BEIGE
927,MALE,BLACK
928,FEMALE,GRAY
929,UNKNOWN,
930,MALE,BROWN-BLK
931,MALE,RED
932,UNKNOWN,TAN
933,UNKNOWN,WHITE-BRN
934,MALE,BLACK
935,FEMALE,RED
936,UNKNOWN,
937,UNKNOWN,
938,FEMALE,BRN-WHITE
939,FEMALE,BLACK
940,MALE,WHITE
941,MALE,BRN-WHITE
942,MALE,BLK-WHT
943,UNKNOWN,
944,MALE,RED
945,FEMALE,BLK-WHITE
946,MALE,RED-BRN
947,UNKNOWN,
948,MALE,RED-BRN
949,MALE,GRAY
950,MALE,RUST-BLK
951,UNKNOWN,
952,UNKNOWN,
953,MALE,BLACK
954,FEMALE,TRI
955,FEMALE,APRICOT
956,MALE,GRAY
957,UNKNOWN,
958,UNKNOWN,
959,UNKNOWN,
960,MALE,LIVER-WHT
961,MALE,BROWN
