Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
USA,Michael Price,1.5,854,59,Finance
USA,Stephen Mandel Jr,1.5,854,56,Finance
USA,Herbert Allen Jr & family,1.4,913,72,Finance
USA,Louis Bacon,1.4,913,53,Finance
USA,Marc Lasry,1.3,960,51,Finance
USA,Richard Scaife,1.3,960,79,Finance
USA,Thomas Steyer,1.3,960,54,Finance
USA,Vinod Khosla,1.3,960,57,Finance
USA,C. Dean Metropoulos,1.2,1015,65,Finance
USA,Daniel Loeb,1.2,1015,50,Finance
USA,Henry Swieca,1.2,1015,54,Finance
USA,Mark Stevens,1.2,1015,52,Finance
USA,David Einhorn,1.1,1075,43,Finance
USA,Jim Breyer,1.1,1075,50,Finance
USA,Nelson Peltz,1.1,1075,69,Finance
USA,Philip Falcone,1.1,1075,49,Finance
USA,Richard Chilton Jr,1.1,1075,53,Finance
USA,Thomas Bailey,1.1,1075,75,Finance
USA,Thomas Barrack,1.1,1075,64,Finance
USA,William Macaulay,1.1,1075,66,Finance
USA,Paul Singer,1,1153,67,Finance
USA,Peter Peterson,1,1153,85,Finance
USA,Robert Agostinelli,1,1153,58,Finance
USA,Chase Coleman,1.1,1075,36,"Finance "
USA,Albert Ueltschi,1.9,683,94,Aviation
USA,Charlotte Colket Weber,1.2,1015,69,Food & Drinks
Argentina,Gregorio Perez Companc,1.5,854,77,Food & Drinks
Brazil,Jorge Paulo Lemann,12,69,72,Food & Drinks
Brazil,Marcel Herrmann Telles,5.7,178,62,Food & Drinks
Brazil,Carlos Alberto Sicupira,5.2,196,64,Food & Drinks
Brazil,Francisco Ivens de Sa Dias Branco,3.8,290,77,Food & Drinks
China,Zong Qinghou,6.5,146,66,Food & Drinks
China,Chanchai Ruayrungruang,1,1153,58,Food & Drinks
Colombia,Alejandro Santo Domingo Davila,9.5,97,35,Food & Drinks
France,Pierre Bellon & family,3.4,330,82,Food & Drinks
Germany,Michael Herz,4.5,232,68,Food & Drinks
Germany,Wolfgang Herz,4.5,232,61,Food & Drinks
Germany,Axel Oberwelland,2.5,491,45,Food & Drinks
Germany,Gunter Herz,2.5,491,71,Food & Drinks
Germany,Thomas Bruch,2.4,521,61,Food & Drinks
Germany,Daniela Herz,2.3,546,58,Food & Drinks
Germany,Hans Riegel,2.3,546,89,Food & Drinks
Germany,Ingeburg Herz,1.3,960,90,Food & Drinks
Ireland,John Dorrance III,2.4,521,68,Food & Drinks
Italy,Michele Ferrero & family,19,23,85,Food & Drinks
Netherlands,Charlene de Carvalhon.a.Heineken,7.7,120,57,Food & Drinks
Philippines,Eduardo Cojuangco,1.3,960,76,Food & Drinks
Russia,Gavril Yushvaev,1.2,1015,54,Food & Drinks
Taiwan,Tsai Engn.a.Meng,6.2,161,55,Food & Drinks
Taiwan,Wei Ingn.a.Chou,1.7,764,59,Food & Drinks
Taiwan,Wei Yingn.a.Chiao,1.7,764,57,Food & Drinks
Taiwan,Wei Yinn.a.Chun,1.7,764,55,Food & Drinks
Taiwan,Wei Yinn.a.Heng,1.7,764,53,Food & Drinks
Thailand,Dhanin Chearavanont & family,7,133,72,Food & Drinks
Thailand,Charoen Sirivadhanabhakdi,5.5,184,67,Food & Drinks
Thailand,Chaleo Yoovidhya,5,205,80,Food & Drinks
Turkey,Murat Ulker,2.8,418,52,Food & Drinks
Turkey,Kamil Yazici,1.8,719,83,Food & Drinks
Turkey,Mustafa Latif Topbas,1.4,913,68,Food & Drinks
Turkey,Tuncay Ozilhan,1.4,913,64,Food & Drinks
Turkey,Ahsen Ozokur,1.3,960,61,Food & Drinks
USA,Forrest Mars Jr,13.8,52,80,Food & Drinks
USA,Jacqueline Mars,13.8,52,72,Food & Drinks
USA,John Mars,13.8,52,75,Food & Drinks
USA,Donna MacMillan,3.3,344,79,Food & Drinks
USA,Gwendolyn Sontheim Meyer,3.3,344,50,Food & Drinks
USA,Pauline MacMillan Keinath,3.3,344,78,Food & Drinks
USA,Whitney MacMillan,3.3,344,83,Food & Drinks
USA,Mary Alice Dorrance Malone,2.3,546,62,Food & Drinks
USA,J. Christopher Reyes,2.1,601,58,Food & Drinks
USA,Jude Reyes,2.1,601,56,Food & Drinks
USA,Bennett Dorrance,1.8,719,66,Food & Drinks
USA,Austen Cargill II,1.6,804,61,Food & Drinks
USA,James Cargill II,1.6,804,62,Food & Drinks
USA,Marianne Liebmann,1.6,804,58,Food & Drinks
Venezuela,Lorenzo Mendoza & family,3.4,330,46,Food & Drinks
England,Bernard Ecclestone & family,2.8,418,81,Formula One
USA,Rupert Johnson Jr,4.4,242,70,Franklin Resources
Singapore,Sam Goi,1.2,1015,63,Food & Drinks
USA,Robert Rich Jr,2.1,601,71,Food & Drinks
Australia,James Packer,4.7,223,44,Gaming
Japan,Kunio Busujima & family,5.9,169,86,Gaming
Japan,Han Changn.a.Woo & family,3.1,367,81,Gaming
Japan,Kazuo Okada & family,1.8,719,69,Gaming
Japan,Hajime Satomi,1.1,1075,70,Gaming
Austria,Johann Graf,5.3,193,65,Gaming
USA,Gordon Getty,2,634,78,Energy
Greece,Aristotelis Mistakidis,2.8,418,50,Mining
Spain,Daniel Mate,2.8,418,48,Mining
England,Alex Beard,2.1,601,44,Mining
USA,Tor Peterson,2.4,521,47,Mining
Japan,Eitaro Itoyama,2.9,401,69,Leasure
Canada,David Cheriton,1.3,960,60,Internet
Germany,Andreas von Bechtolsheim,2.3,546,56,Internet
USA,Larry Page,18.7,24,39,Internet
USA,Sergey Brin,18.7,24,38,Internet
USA,Eric Schmidt,6.9,138,56,Internet
USA,Eric Lefkofsky,2.9,401,42,Internet
Sweden,Stefan Persson,26,8,64,Retail
Sweden,Liselott Persson,3.6,304,62,Retail
USA,John Paul DeJoria,4,276,68,Beauty Products
