industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
E-Commerce,2018,Zhejiang,Angel Round,1794,lose focus,279
E-Commerce,2018,Zhejiang,Series A,1613,no business model,280
E-Commerce,2018,Zhejiang,No Funding,1674,get outcompeted,281
E-Commerce,2018,Zhejiang,Seed Round,1582,no market need,282
E-Commerce,2018,Zhejiang,Angel Round,1582,no market need,283
E-Commerce,2018,Zhejiang,Angel Round,1065,get outcompeted,284
E-Commerce,2017,Zhejiang,No Funding,1886,pivot gone bad,285
E-Commerce,2017,Zhejiang,No Funding,2466,no business model,286
E-Commerce,2017,Zhejiang,No Funding,2160,lose focus,287
E-Commerce,2017,Zhejiang,Angel Round,1917,no market need,288
E-Commerce,2017,Zhejiang,Series A,1101,failure to pivot,289
E-Commerce,2016,Zhejiang,Angel Round,1979,no market need,290
E-Commerce,2015,Zhejiang,No Funding,2588,no business model,291
E-Commerce,2014,Zhejiang,No Funding,1214,no business model,292
E-Commerce,2014,Zhejiang,No Funding,3313,no business model,293
Education,2018,Zhejiang,Series A,1644,ran out of cash,294
Education,2018,Zhejiang,Angel Round,1644,no market need,295
Education,2017,Zhejiang,Angel Round,1947,ran out of cash,296
Education,2017,Zhejiang,Angel Round,824,pivot gone bad,297
Education,2015,Zhejiang,Series A,2343,no business model,298
Education,2010,Zhejiang,Acquired,1221,pivot gone bad,299
Transportation,2019,Zhejiang,Series A,1431,pricing/cost issue,300
Transportation,2019,Zhejiang,Series B,1065,burn out,301
Transportation,2017,Zhejiang,No Funding,1825,get outcompeted,302
Transportation,2017,Zhejiang,Series A,1947,get outcompeted,303
Transportation,2017,Zhejiang,Series A,1552,get outcompeted,304
Transportation,2016,Zhejiang,No Funding,1301,get outcompeted,305
Transportation,2015,Zhejiang,No Funding,1066,failure to pivot,306
Tool,2019,Zhejiang,Pre-A Round,1492,no business model,307
Tool,2016,Zhejiang,No Funding,2101,lose focus,308
Tool,2016,Zhejiang,No Funding,1310,no business model,309
Tool,2016,Zhejiang,No Funding,1310,no business model,310
Tool,2015,Zhejiang,No Funding,1034,no business model,311
Tool,2015,Zhejiang,No Funding,6204,no business model,312
Tool,2015,Zhejiang,No Funding,1576,no business model,313
Local Business,2019,Zhejiang,Seed Round,1126,no business model,314
Local Business,2019,Zhejiang,Seed Round,912,no market need,315
Local Business,2018,Zhejiang,Angel Round,1491,no market need,316
Local Business,2018,Zhejiang,Angel Round,1613,no business model,317
Local Business,2018,Zhejiang,Angel Round,1491,get outcompeted,318
Local Business,2017,Zhejiang,Angel Round,2191,get outcompeted,319
Local Business,2017,Zhejiang,Angel Round,4072,get outcompeted,320
Local Business,2017,Zhejiang,Series A,795,burn out,321
Local Business,2017,Zhejiang,Angel Round,784,pivot gone bad,322
Local Business,2016,Zhejiang,Series B,673,no market need,323
Local Business,2015,Zhejiang,No Funding,1886,get outcompeted,324
Real Estate,2018,Zhejiang,Angel Round,902,supervision,325
Real Estate,2015,Zhejiang,Angel Round,1470,pricing/cost issue,326
Marketing,2015,Zhejiang,No Funding,1856,failure to pivot,327
Marketing,2015,Zhejiang,No Funding,999,no business model,328
Entertainment,2019,Zhejiang,Angel Round,1431,no business model,329
Entertainment,2019,Zhejiang,Angel Round,881,lose focus,330
Entertainment,2018,Zhejiang,Series B,2339,ran out of cash,331
Entertainment,2017,Zhejiang,No Funding,3097,lose focus,332
Entertainment,2016,Zhejiang,Angel Round,763,product mistimed,333
Entertainment,2016,Zhejiang,Angel Round,1401,no market need,334
Entertainment,2012,Zhejiang,No Funding,1152,pivot gone bad,335
Social Media,2019,Zhejiang,Angel Round,1431,no business model,336
Social Media,2019,Zhejiang,Angel Round,1553,no business model,337
Social Media,2017,Zhejiang,Angel Round,2009,lose focus,338
Social Media,2016,Zhejiang,Angel Round,1979,get outcompeted,339
Social Media,2012,Zhejiang,No Funding,1010,product mistimed,340
Enterprise Service,2019,Zhejiang,Angel Round,1369,product mistimed,341
Enterprise Service,2019,Zhejiang,Angel Round,1187,product mistimed,342
Enterprise Service,2019,Zhejiang,Angel Round,1394,pivot gone bad,343
Enterprise Service,2018,Zhejiang,Series A,1070,legal challenges,344
Enterprise Service,2017,Zhejiang,Series A,741,no business model,345
Enterprise Service,2017,Zhejiang,Series A,736,product mistimed,346
Hardware,2019,Zhejiang,No Funding,1278,pricing/cost issue,347
Hardware,2018,Zhejiang,Series B,1456,ran out of cash,348
Hardware,2015,Zhejiang,No Funding,1947,no investor interest,349
Hardware,2013,Zhejiang,Series A,1373,no investor interest,350
Travel,2016,Zhejiang,Series A,1130,no business model,351
Travel,2015,Zhejiang,No Funding,2190,get outcompeted,352
Finance,2019,Sichuan,Series A,1757,ran out of cash,353
Finance,2018,Sichuan,Angel Round,1552,supervision,354
Finance,2018,Sichuan,Angel Round,1433,no business model,355
Finance,2017,Sichuan,Angel Round,1613,supervision,356
Finance,2015,Sichuan,Acquired,1917,supervision,357
E-Commerce,2019,Sichuan,Series A+,1612,no market need,358
E-Commerce,2017,Sichuan,No Funding,723,no business model,359
E-Commerce,2017,Sichuan,Angel Round,736,no market need,360
E-Commerce,2015,Sichuan,No Funding,825,no business model,361
Education,2016,Sichuan,No Funding,1887,get outcompeted,362
Transportation,2018,Sichuan,Series A,1521,product mistimed,363
Transportation,2017,Sichuan,Angel Round,1917,lose focus,364
Tool,2018,Sichuan,Pre-A Round,1521,no market need,365
Tool,2018,Sichuan,No Funding,1644,no business model,366
Tool,2017,Sichuan,No Funding,1705,no investor interest,367
Tool,2017,Sichuan,Angel Round,1917,lose focus,368
Tool,2017,Sichuan,No Funding,2070,no investor interest,369
Local Business,2019,Sichuan,No Funding,1369,no market need,370
Local Business,2017,Sichuan,No Funding,830,no business model,371
Real Estate,2017,Sichuan,Angel Round,1825,get outcompeted,372
Marketing,2017,Sichuan,Angel Round,1411,failure to pivot,373
Marketing,2015,Sichuan,No Funding,722,no business model,374
Game,2019,Sichuan,No Funding,396,ran out of cash,375
Game,2018,Sichuan,No Funding,1885,not the right team,376
Game,2017,Sichuan,No Funding,1674,product mistimed,377
Game,2016,Sichuan,Angel Round,1888,no business model,378
Game,2016,Sichuan,No Funding,1636,no business model,379
Game,2014,Sichuan,Series A,2435,ran out of cash,380
Social Media,2017,Sichuan,No Funding,2160,no business model,381
Social Media,2016,Sichuan,Series A,1918,no market need,382
Social Media,2016,Sichuan,No Funding,1918,no business model,383
Social Media,2015,Sichuan,Angel Round,1304,no market need,384
Social Media,2014,Sichuan,Angel Round,1008,ignore customers,385
Enterprise Service,2019,Sichuan,Angel Round,1461,no business model,386
Enterprise Service,2019,Sichuan,No Funding,1400,no business model,387
Enterprise Service,2018,Sichuan,Angel Round,1552,get outcompeted,388
Enterprise Service,2018,Sichuan,No Funding,1613,no business model,389
Enterprise Service,2017,Sichuan,No Funding,1582,pivot gone bad,390
Enterprise Service,2017,Sichuan,No Funding,1582,no business model,391
Enterprise Service,2017,Sichuan,No Funding,1947,no market need,392
Enterprise Service,2017,Sichuan,No Funding,543,no business model,393
Travel,2017,Sichuan,No Funding,450,no market need,394
Travel,2017,Sichuan,Angel Round,1100,poor marketing,395
Travel,2016,Sichuan,Angel Round,1038,get outcompeted,396
New Industry,2016,Sichuan,No Funding,1278,no business model,397
Finance,2019,Beijing,No Funding,1443,supervision,398
Finance,2019,Beijing,Angel Round,516,supervision,399
Finance,2019,Beijing,Angel Round,1492,no market need,400
Finance,2019,Beijing,Angel Round,1612,no market need,401
Finance,2019,Beijing,Angel Round,1278,no business model,402
Finance,2019,Beijing,No Funding,1156,supervision,403
Finance,2019,Beijing,Acquired,1553,supervision,404
Finance,2019,Beijing,Series B,2791,ran out of cash,405
Finance,2018,Beijing,No Funding,1825,pivot gone bad,406
Finance,2018,Beijing,No Funding,1735,no business model,407
Finance,2018,Beijing,Angel Round,1127,lose focus,408
Finance,2018,Beijing,Series B+,1571,ran out of cash,409
Finance,2018,Beijing,Series C,1781,supervision,410
Finance,2018,Beijing,Series A,2111,supervision,411
Finance,2018,Beijing,No Funding,4567,supervision,412
Finance,2018,Beijing,Angel Round,365,supervision,413
Finance,2017,Beijing,Angel Round,1552,product mistimed,414
Finance,2017,Beijing,Seed Round,521,legal challenges,415
Finance,2017,Beijing,Series A,1101,supervision,416
Finance,2017,Beijing,Angel Round,740,no market need,417
Finance,2017,Beijing,No Funding,250,supervision,418
Finance,2016,Beijing,No Funding,2191,supervision,419
Finance,2016,Beijing,No Funding,860,no market need,420
Finance,2016,Beijing,No Funding,853,no business model,421
Finance,2016,Beijing,No Funding,943,supervision,422
Finance,2016,Beijing,No Funding,1088,no business model,423
Finance,2016,Beijing,Series A,1130,no business model,424
Finance,2016,Beijing,Series A,673,supervision,425
Finance,2016,Beijing,Angel Round,459,supervision,426
Finance,2015,Beijing,No Funding,848,no business model,427
Finance,2015,Beijing,No Funding,938,no business model,428
Finance,2015,Beijing,Series B,1271,product mistimed,429
Finance,2015,Beijing,No Funding,997,no business model,430
Finance,2015,Beijing,No Funding,876,supervision,431
Finance,2015,Beijing,No Funding,814,no business model,432
Finance,2014,Beijing,No Funding,2556,pivot gone bad,433
Finance,2014,Beijing,No Funding,1395,no business model,434
Health,2019,Beijing,No Funding,1750,supervision,435
Health,2019,Beijing,Angel Round,229,no business model,436
Health,2019,Beijing,No Funding,1612,pivot gone bad,437
Health,2019,Beijing,Angel Round,1612,no business model,438
Health,2019,Beijing,Angel Round,1431,no investor interest,439
Health,2019,Beijing,Acquired,1612,no business model,440
Health,2019,Beijing,Acquired,1612,no business model,441
Health,2019,Beijing,No Funding,1400,pricing/cost issue,442
Health,2019,Beijing,Angel Round,1417,no business model,443
Health,2018,Beijing,No Funding,1613,lose focus,444
Health,2018,Beijing,Series A,1552,burn out,445
Health,2018,Beijing,Strategic,2052,ran out of cash,446
Health,2018,Beijing,No Funding,155,no business model,447
Health,2017,Beijing,Angel Round,1644,lose focus,448
Health,2017,Beijing,No Funding,1766,no business model,449
Health,2017,Beijing,Angel Round,1886,ran out of cash,450
Health,2017,Beijing,Angel Round,2160,no business model,451
Health,2017,Beijing,No Funding,1886,no business model,452
Health,2017,Beijing,Angel Round,792,no business model,453
Health,2017,Beijing,Angel Round,975,no market need,454
Health,2017,Beijing,No Funding,3500,no business model,455
Health,2017,Beijing,Series A,635,get outcompeted,456
Health,2016,Beijing,No Funding,769,no business model,457
Health,2016,Beijing,No Funding,798,no business model,458
Health,2016,Beijing,No Funding,1302,no business model,459
Health,2016,Beijing,No Funding,1301,no business model,460
Health,2016,Beijing,Angel Round,905,pricing/cost issue,461
Health,2016,Beijing,Angel Round,1191,no business model,462
Health,2015,Beijing,No Funding,1856,no business model,463
Health,2015,Beijing,No Funding,814,no business model,464
Health,2015,Beijing,No Funding,121,no business model,465
Health,2013,Beijing,No Funding,1061,no business model,466
Health,2012,Beijing,Series A,977,no market need,467
Health,2011,Beijing,Series A,2374,lose focus,468
E-Commerce,2019,Beijing,Acquired,4136,pivot gone bad,469
E-Commerce,2019,Beijing,Series C,3924,ran out of cash,470
E-Commerce,2019,Beijing,Seed Round,1461,no market need,471
E-Commerce,2019,Beijing,Series A,1581,burn out,472
E-Commerce,2019,Beijing,Angel Round,1492,no business model,473
E-Commerce,2019,Beijing,Angel Round,1339,pricing/cost issue,474
E-Commerce,2019,Beijing,Series A,1522,product mistimed,475
E-Commerce,2019,Beijing,Angel Round,1461,no market need,476
E-Commerce,2019,Beijing,No Funding,1339,no market need,477
E-Commerce,2019,Beijing,Angel Round,1126,no market need,478
E-Commerce,2019,Beijing,No Funding,1339,no investor interest,479
